Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
2.840000,0.068472,-0.984494,30.332601,-50.874308,49.374775
2.850000,0.054264,0.192181,25.047646,-41.326827,-0.768303
2.860000,0.105285,0.659830,19.533348,-51.118716,-39.561692
2.870000,0.145263,0.088655,12.934911,-56.513837,-25.908050
2.880000,0.132618,-0.512229,6.677197,-46.462737,6.717048
2.890000,0.105490,-0.288147,1.957911,-33.604895,5.364626
2.900000,0.117021,0.376174,-1.937544,-33.168823,-29.694106
2.910000,0.172336,0.776440,-6.626211,-45.074605,-67.051355
2.920000,0.253193,0.989520,-13.158619,-62.799311,-104.157837
2.930000,0.359641,1.346208,-22.137738,-85.754508,-156.544140
2.940000,0.490530,1.572765,-34.181152,-112.977845,-210.974425
2.950000,0.615352,1.289900,-49.281597,-135.324120,-239.442126
2.960000,0.703411,0.803509,-66.277998,-144.745195,-246.079498
2.970000,0.759011,0.597621,-83.705696,-143.997654,-255.122647
2.980000,0.797404,0.508294,-100.720554,-138.500699,-264.031732
2.990000,0.810153,0.165631,-116.694912,-126.350866,-252.638705
3.000000,0.786033,-0.202452,-130.633439,-105.176601,-227.904909
3.010000,0.740589,-0.229485,-141.735849,-80.440892,-212.255469
3.020000,0.686525,-0.270053,-149.890214,-56.067294,-193.290245
3.030000,0.594979,-0.902792,-154.709955,-23.783822,-134.161478
3.040000,0.428536,-1.842141,-154.570679,26.009850,-35.755310
3.050000,0.201842,-2.242250,-147.614201,87.061674,57.288518
3.060000,-0.028588,-1.927502,-133.564371,142.140872,117.819868
3.070000,-0.225379,-1.456995,-113.869613,181.483176,159.662035
3.080000,-0.383942,-1.077184,-90.432883,205.615602,192.971483
3.090000,-0.496310,-0.518221,-65.071842,213.964797,202.519282
3.100000,-0.547821,0.157446,-39.847650,204.193994,186.419731
3.110000,-0.552809,0.417261,-16.638603,182.481445,174.547628
3.120000,-0.552542,0.147612,3.936240,161.826422,186.083596
3.130000,-0.567415,-0.111496,22.458636,147.765988,202.477910
3.140000,-0.581898,-0.038897,39.445608,135.123846,203.406628
3.150000,-0.580610,0.102273,54.732526,119.450455,196.049623
3.160000,-0.562293,0.219884,67.937713,100.750251,184.307472
