Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
1.710000,1.570763,4.284384,182.920993,-654.150004,-673.010316
1.720000,1.926122,1.546767,102.085035,-679.921784,-659.137431
1.730000,2.096707,0.315604,21.932275,-650.944304,-654.752297
1.740000,2.255753,1.544691,-54.337333,-622.388614,-762.849257
1.750000,2.497968,2.780307,-128.910687,-620.479589,-899.916219
1.760000,2.722407,1.901657,-203.323774,-613.398261,-932.478677
1.770000,2.761386,-0.741986,-273.881558,-554.534159,-820.820832
1.780000,2.518435,-3.902846,-332.761576,-422.768857,-591.421720
1.790000,1.991106,-6.636065,-371.513976,-225.817865,-288.041736
1.800000,1.278844,-7.666235,-384.356588,0.703315,-3.947397
1.810000,0.582674,-6.019097,-371.431496,196.629328,147.949063
1.820000,0.086590,-2.908532,-339.744785,313.767777,163.416906
1.830000,-0.192632,-0.848165,-298.931182,356.720698,155.359975
1.840000,-0.358609,-0.282805,-255.565513,363.148241,179.767318
1.850000,-0.438465,0.793064,-212.941949,344.481596,151.780507
1.860000,-0.341640,3.265952,-175.394596,277.886608,-0.411666
1.870000,-0.035804,5.253484,-149.251383,159.992607,-199.103440
1.880000,0.350955,4.979804,-138.286223,32.999703,-317.937832
1.890000,0.652032,3.134963,-140.383200,-55.226487,-333.636105
1.900000,0.795997,1.202128,-149.611313,-89.187723,-292.205402
1.910000,0.783144,-0.507022,-159.790060,-75.153222,-208.694878
1.920000,0.637881,-1.791257,-165.903504,-25.460676,-100.953095
1.930000,0.449497,-1.543629,-165.355763,30.506522,-50.951869
1.940000,0.365242,0.486140,-160.072208,50.499629,-119.690767
1.950000,0.458218,2.529046,-155.749349,18.283847,-248.396580
1.960000,0.660736,3.090289,-157.312304,-40.908385,-344.016393
1.970000,0.882109,2.931085,-166.033018,-98.599653,-411.851180
1.980000,1.109819,3.115570,-181.335004,-151.610821,-497.727789
1.990000,1.327364,2.748669,-202.542797,-195.666420,-554.193100
2.000000,1.431863,0.772030,-226.953613,-202.605261,-497.233645
2.010000,1.345203,-1.458157,-248.720422,-154.840606,-364.560512
2.020000,1.138723,-1.952712,-262.617946,-78.999052,-273.645507
2.030000,0.925313,-1.481000,-267.654700,-9.939090,-226.222770
2.040000,0.673578,-2.452180,-264.433431,62.359986,-98.597676
2.050000,0.258886,-4.881772,-250.320835,172.654913,151.733115
2.060000,-0.321832,-6.239124,-220.532485,317.082110,406.939047
2.070000,-0.913865,-5.305471,-173.813217,447.972596,558.013306
2.080000,-1.380171,-3.478378,-114.419857,528.471242,624.897386
2.090000,-1.689265,-1.873441,-48.808531,555.587941,649.761513
2.100000,-1.821840,0.150313,16.745189,529.806875,596.363717
2.110000,-1.731506,2.686408,75.432931,444.018933,445.030808
2.120000,-1.451693,4.069858,120.794182,314.713774,285.313762
2.130000,-1.125082,3.435582,150.354618,187.169887,205.650510
2.140000,-0.851278,2.426454,166.400756,88.982618,162.115441
2.150000,-0.589336,2.671630,171.779873,5.020903,64.275347
2.160000,-0.279338,3.257411,166.851920,-83.050570,-65.205467
2.170000,0.024546,2.534378,151.854757,-159.218533,-130.854949
2.180000,0.229665,1.020523,129.905220,-198.804621,-126.121634
2.190000,0.347182,0.453873,105.229498,-209.384191,-136.551108
2.200000,0.461707,0.948438,79.586146,-218.098116,-195.972578
2.210000,0.598582,1.150789,52.494623,-232.069135,-249.360978
2.220000,0.705611,0.517407,24.217493,-235.900812,-253.721478
2.230000,0.725889,-0.600147,-3.004159,-214.762424,-206.564183
2.240000,0.599516,-2.515549,-25.310662,-154.543994,-73.224428
2.250000,0.239372,-5.533236,-36.749334,-35.062206,189.607645
2.260000,-0.369249,-7.945140,-30.059536,140.834261,506.505775
2.270000,-1.046771,-7.172971,-1.687638,315.718863,696.251272
2.280000,-1.511975,-3.273197,43.131530,410.460906,667.570365
2.290000,-1.622450,0.854880,92.258062,394.477030,509.402139
2.300000,-1.445522,3.195448,134.057508,299.599037,339.451507
2.310000,-1.100396,4.376132,161.884370,168.234549,168.462560
2.320000,-0.648532,5.208692,172.866294,21.693384,-21.051962
2.330000,-0.154956,5.056602,166.358004,-119.871210,-177.535455
2.340000,0.284921,3.837255,144.639419,-230.115633,-265.359036
2.350000,0.649280,3.145679,111.915482,-306.699500,-352.368126
2.360000,1.008203,3.599856,70.818703,-373.279650,-491.280803
2.370000,1.362267,3.253692,22.136486,-430.816654,-591.070343
2.380000,1.572731,0.771986,-30.813519,-441.005669,-542.739412
2.390000,1.546282,-1.840707,-80.641150,-383.243554,-409.398531
2.400000,1.380706,-2.251974,-121.046147,-293.165757,-333.536350
2.410000,1.204341,-1.742037,-150.925328,-210.376905,-298.083713
2.420000,0.969962,-2.971776,-170.693133,-120.295447,-162.212830
2.430000,0.570097,-5.086599,-177.421810,6.392813,69.997361
2.440000,0.093149,-4.730723,-168.007414,140.062624,211.400682
2.450000,-0.223969,-1.549465,-145.906519,213.097334,166.169227
2.460000,-0.292545,1.064771,-120.161534,207.924890,64.233364
2.470000,-0.253869,1.072540,-97.388995,173.549799,49.006774
2.480000,-0.255069,0.058812,-77.944838,154.465584,95.451158
2.490000,-0.311867,-0.439063,-59.553854,153.113842,136.568587
2.500000,-0.425184,-1.310153,-40.345987,167.901259,214.300677
2.510000,-0.651667,-3.014785,-17.544118,213.044109,369.140961
2.520000,-0.972640,-3.660095,12.266474,279.525448,505.884430
2.530000,-1.246837,-2.253148,49.098573,324.952576,530.605608
2.540000,-1.410771,-1.218504,89.006512,334.224874,536.011922
2.550000,-1.607917,-2.896190,130.116306,352.258889,680.149263
2.560000,-1.982407,-5.400820,176.361660,418.360297,922.733513
2.570000,-2.418372,-4.854481,231.729198,493.782318,1042.788623
2.580000,-2.617831,-0.645825,291.957440,493.391829,911.919681
2.590000,-2.405446,4.122798,344.759370,376.874417,617.447018
2.600000,-1.859304,6.687304,377.955478,179.835750,315.715930
2.610000,-1.184780,6.732556,386.120563,-30.686674,90.455631
2.620000,-0.570225,5.011670,371.278642,-200.211077,-30.805061
2.630000,-0.139389,2.353640,340.451021,-298.634326,-45.959352
2.640000,0.083704,0.163248,302.347574,-327.458853,-13.379541
2.650000,0.199271,-0.173409,263.246968,-323.028271,-32.057217
2.660000,0.347708,0.984152,224.292997,-328.605266,-132.272133
2.670000,0.559182,1.584363,183.456670,-351.211231,-227.778688
2.680000,0.708285,0.047439,140.825476,-353.310852,-202.387581
2.690000,0.623729,-3.267839,101.894628,-289.013336,-15.717493
2.700000,0.233185,-6.570510,75.791886,-145.747294,272.105065
2.710000,-0.369709,-7.899429,70.077877,40.834750,537.438069
2.720000,-0.964522,-6.306402,85.805576,203.550875,661.981489
2.730000,-1.332132,-2.687608,116.143425,283.496028,614.764466
2.740000,-1.390755,0.782336,149.880139,267.346254,471.002083
2.750000,-1.216075,2.619711,177.277652,187.544944,326.147416
2.760000,-0.934661,3.054048,193.480164,86.918094,212.030809
2.770000,-0.630426,2.887534,197.793505,-8.665675,119.082850
2.780000,-0.345011,2.416845,191.592725,-88.089475,47.182996
2.790000,-0.090348,2.030699,176.985175,-149.880901,-18.091443
2.800000,0.174547,2.493888,155.346385,-207.710621,-126.512287
2.810000,0.511105,3.597942,125.969274,-279.300798,-288.936838
2.820000,0.895091,3.735133,87.463768,-355.991100,-421.797859
2.830000,1.192597,1.942995,41.523627,-399.302589,-435.157948
2.840000,1.281417,-0.734130,-5.678614,-378.746551,-337.352875
2.850000,1.147608,-2.878256,-46.428142,-297.854124,-190.577679
2.860000,0.844963,-4.256946,-74.841354,-178.647481,-23.969994
2.870000,0.449035,-4.685825,-87.926770,-46.783604,128.463210
2.880000,0.091669,-3.234352,-86.490081,58.989267,178.999263
2.890000,-0.075302,-0.285697,-76.304700,98.895165,95.060338
2.900000,-0.046300,1.443230,-65.378113,79.268036,2.688403
2.910000,-0.007876,0.204034,-57.343571,59.706302,46.670913
2.920000,-0.115093,-1.881257,-49.012453,83.540305,179.283029
2.930000,-0.286509,-1.580300,-36.410947,122.363785,221.352537
2.940000,-0.318718,1.015966,-21.559614,117.175149,109.033661
2.950000,-0.139408,3.213167,-11.207234,53.029508,-55.188700
2.960000,0.151951,3.607889,-10.448982,-35.136451,-171.914747
2.970000,0.418356,2.617027,-19.439401,-106.067326,-214.830216
2.980000,0.539939,0.351616,-34.032844,-127.948836,-149.196994
2.990000,0.411908,-2.927803,-46.734738,-76.837647,47.548578
3.000000,0.045089,-5.072731,-49.124331,35.597698,270.616057
3.010000,-0.365620,-4.074529,-37.470635,147.156508,360.300853
3.020000,-0.615156,-1.416802,-15.852182,200.399046,317.732971
3.030000,-0.701878,-0.175016,8.588117,201.975158,287.074478
3.040000,-0.732982,-0.138422,31.996215,187.898438,294.581583
3.050000,-0.667364,1.631456,52.353920,147.855293,188.641382
3.060000,-0.338560,5.408897,63.742853,37.825051,-99.241846
3.070000,0.267028,7.830202,57.429258,-137.537563,-415.495355
3.080000,0.938963,6.997994,29.528654,-311.217574,-600.484514
3.090000,1.486938,4.934855,-15.968049,-430.113315,-685.644939
3.100000,1.902694,3.860946,-72.344303,-498.463939,-772.831734
3.110000,2.246268,3.408011,-135.043634,-538.836760,-865.188396
3.120000,2.530903,2.839021,-201.270999,-557.999853,-932.739355
3.130000,2.771367,2.721401,-268.801746,-562.608299,-1007.185648
3.140000,2.988352,2.713214,-336.425392,-560.080276,-1079.478426
3.150000,3.090969,0.793748,-402.025041,-525.265765,-1024.382762
3.160000,2.899709,-3.242356,-458.719013,-411.193672,-772.305988
3.170000,2.382711,-6.189660,-496.420143,-218.393153,-463.320206
3.180000,1.759726,-5.469711,-509.782857,-18.134832,-292.191470
3.190000,1.287102,-2.495515,-502.861912,116.731424,-278.212273
3.200000,1.034898,-0.080807,-484.797706,174.328389,-312.274362
3.210000,0.933555,1.134485,-463.165999,183.099573,-340.594809
3.220000,0.904684,1.563626,-441.989249,170.583935,-356.071640
3.230000,0.844127,0.445314,-421.908421,168.670466,-288.016004
3.240000,0.601695,-2.500611,-399.040328,218.531884,-73.073279
3.250000,0.126590,-4.983922,-366.217390,328.240380,198.045250
3.260000,-0.424378,-4.580898,-319.112142,446.425465,358.901910
3.270000,-0.841352,-2.206420,-260.736237,513.141732,382.282788
3.280000,-1.087629,-0.770615,-198.067884,524.356587,392.831147
3.290000,-1.288869,-1.296907,-135.268245,521.928850,480.935672
3.300000,-1.550351,-2.478016,-71.741880,536.847279,620.536409
3.310000,-1.870902,-3.101534,-5.342849,566.613358,754.253848
3.320000,-2.184224,-2.796254,64.465071,590.802084,842.425250
3.330000,-2.392499,-1.252627,135.325141,582.424555,837.832496
3.340000,-2.401985,1.168094,201.788979,518.806393,726.212137
3.350000,-2.218612,2.708786,257.419563,408.163999,592.234768
3.360000,-1.982266,2.057663,299.219945,295.459836,544.407082
3.370000,-1.830910,0.369030,329.659768,219.613236,574.607584
3.380000,-1.758250,-0.255818,353.145602,174.329517,581.824020
3.390000,-1.667564,0.363887,371.401761,128.867394,524.987890
3.400000,-1.522680,0.790246,383.504175,73.299855,459.431779
3.410000,-1.374596,0.346421,389.121569,23.257206,433.982300
3.420000,-1.281572,-0.561514,390.005873,-5.534400,448.994061
3.430000,-1.277690,-1.733828,389.212381,-5.905434,506.356230
3.440000,-1.377339,-2.927844,390.256702,22.945057,599.344644
3.450000,-1.527113,-2.974429,395.669930,62.463825,655.088926
3.460000,-1.586605,-1.060275,404.243007,71.738488,588.411547
3.470000,-1.443043,1.554384,410.291548,22.621395,420.887439
3.480000,-1.129649,2.854481,407.475461,-68.580737,258.466217
3.490000,-0.768972,2.646580,393.231415,-162.539739,151.363031
3.500000,-0.434171,2.174185,368.787195,-238.535948,65.610328
3.510000,-0.132843,1.845520,336.378514,-296.525465,-15.584562
3.520000,0.124301,1.271268,298.167624,-335.458007,-70.519768
3.530000,0.337185,0.955657,256.394594,-357.549971,-122.974435
3.540000,0.565398,1.703450,212.014953,-381.634310,-230.773534
3.550000,0.853735,2.553156,163.824339,-419.944762,-363.792002
3.560000,1.115841,1.567543,111.455272,-446.207466,-402.165643
3.570000,1.195630,-1.123556,59.130581,-417.819678,-299.836176
3.580000,1.058323,-3.099712,14.072923,-331.569698,-159.018381
3.590000,0.837744,-2.837796,-19.350273,-231.972883,-96.195504
3.600000,0.682314,-1.326671,-42.495554,-162.198721,-114.585284
3.610000,0.631676,-0.090579,-59.712116,-129.790580,-155.678225
3.620000,0.657364,0.670692,-74.738794,-122.470331,-200.337142
3.630000,0.741459,1.370458,-90.014960,-132.422760,-261.822914
3.640000,0.879116,1.985915,-107.409113,-156.325811,-337.362422
3.650000,1.061788,2.476926,-128.350261,-190.186173,-422.162388
3.660000,1.292743,3.130041,-153.975789,-233.847164,-530.749320
3.670000,1.581945,3.867657,-185.589379,-288.994221,-662.809610
3.680000,1.906964,4.096892,-224.183804,-347.905307,-783.005890
3.690000,2.212208,3.622351,-269.208232,-394.454279,-863.603332
3.700000,2.454930,2.883689,-318.414250,-418.064636,-911.041579
3.710000,2.621457,2.140977,-368.916762,-417.520367,-933.093671
3.720000,2.707650,1.373507,-417.913552,-394.381337,-927.522835
3.730000,2.732323,1.043284,-463.113634,-356.583235,-922.399380
3.740000,2.764547,1.784861,-504.007570,-325.356578,-970.654209
3.750000,2.873246,3.062160,-542.682284,-319.291481,-1070.120674
3.760000,3.027837,3.244752,-581.702534,-326.648705,-1133.895665
3.770000,3.091584,1.471846,-620.244348,-307.230870,-1075.747272
3.780000,2.936503,-1.341664,-652.796559,-228.154279,-895.898529
3.790000,2.548253,-3.560637,-672.074153,-92.401687,-666.519610
3.800000,2.028687,-4.133863,-673.340721,64.734751,-471.184485
3.810000,1.530443,-2.937697,-656.930167,197.797253,-366.721601
3.820000,1.167930,-0.931596,-627.804133,277.425054,-346.117397
3.830000,0.926539,-0.024142,-592.058855,314.097186,-314.536322
3.840000,0.654564,-1.471843,-552.002309,355.633010,-161.967984
3.850000,0.210830,-3.986627,-504.295954,441.047066,98.396605
3.860000,-0.351358,-4.556758,-444.435124,549.842653,307.217087
3.870000,-0.789699,-1.732317,-373.935263,610.844929,315.337443
3.880000,-0.889159,2.685612,-302.415226,569.163051,135.636448
3.890000,-0.655191,5.556399,-241.918145,438.475447,-82.167256
3.900000,-0.300662,5.185171,-198.924376,289.122916,-186.962569
3.910000,-0.086696,2.074563,-170.712243,196.721039,-115.017694
3.920000,-0.169963,-1.907797,-147.679257,198.668292,98.040204
3.930000,-0.530302,-4.592230,-119.158394,278.248921,343.132061
3.940000,-1.003930,-4.829303,-79.156048,380.334969,511.170881
3.950000,-1.424044,-3.586037,-28.324155,455.537463,591.708727
3.960000,-1.767279,-3.122440,29.491527,500.692054,683.219305
3.970000,-2.149548,-4.509758,92.822714,552.041703,874.979076
3.980000,-2.668195,-6.467292,164.359999,636.098631,1139.473978
3.990000,-3.272351,-6.936924,247.227522,734.477896,1362.993295
4.000000,-3.790589,-5.111096,340.065743,797.110881,1450.284633
4.010000,-4.051573,-1.705052,435.597209,779.874618,1377.823336
4.020000,-3.983309,1.770035,523.226473,671.766377,1192.833306
4.030000,-3.658865,3.573454,593.711648,503.947929,1001.819876
4.040000,-3.271054,2.731007,643.640336,337.675738,915.161216
4.050000,-3.003062,0.329020,676.699568,224.218944,942.983571
4.060000,-2.872181,-1.022528,699.614126,162.040242,968.167491
4.070000,-2.724774,0.094244,715.624183,101.807943,872.403666
4.080000,-2.411970,2.375637,722.017799,1.573187,666.980478
4.090000,-1.935494,3.701970,713.941116,-133.292875,452.063070
4.100000,-1.398188,3.690682,689.281278,-269.824890,280.060974
4.110000,-0.872272,3.334727,649.328407,-387.646669,128.401261
4.120000,-0.376484,2.989021,596.594952,-483.649851,-13.527583
4.130000,0.063646,2.235053,533.937602,-553.031276,-117.751899
4.140000,0.420450,1.344413,464.912913,-591.048035,-187.969801
4.150000,0.721487,1.216873,392.716657,-609.162830,-275.835268
4.160000,1.022983,1.700977,318.549213,-625.444181,-393.175125
4.170000,1.308762,1.402357,242.674612,-635.303108,-469.149713
4.180000,1.475368,-0.369088,167.583423,-610.193734,-436.781262
4.190000,1.441994,-2.581008,98.874801,-531.473133,-317.627811
4.200000,1.231889,-3.912000,42.412967,-411.979533,-181.678997
4.210000,0.929992,-4.186115,1.295071,-280.292658,-65.698823
4.220000,0.612884,-3.783275,-24.554282,-159.311004,22.599520
4.230000,0.348803,-2.626403,-37.569749,-67.071055,56.952222
